text,sentiment
这个产品真的很棒,Positive
我非常喜欢这个服务,Positive
质量很好，值得推荐,Positive
体验非常满意,Positive
完美的解决方案,Positive
优秀的产品,Positive
很好用，推荐给大家,Positive
非常棒的体验,Positive
质量超出预期,Positive
服务态度很好,Positive
这个产品太差了,Negative
非常失望的体验,Negative
质量很糟糕,Negative
完全不推荐,Negative
浪费时间和金钱,Negative
服务态度恶劣,Negative
产品有很多问题,Negative
非常不满意,Negative
质量不合格,Negative
完全不值得购买,Negative
还可以吧,Neutral
一般般的产品,Neutral
没什么特别的,Neutral
普通的体验,Neutral
中规中矩,Neutral
还行，不算太差,Neutral
平常的服务,Neutral
一般水平,Neutral
凑合能用,Neutral
说不上好坏,Neutral
哇，这个真的超级好用,Joy
太赞了，超出我的想象,Joy
真心推荐，不会后悔的,Joy
这个价格买到这样的质量，太值了,Joy
客服小姐姐人超好的,Joy
物流速度快得飞起,Joy
包装很精美，细节满分,Joy
用了一段时间，真的很稳定,Joy
这个功能设计得太贴心了,Joy
性价比超高，强烈推荐,Joy
这个app界面设计得真漂亮,Joy
操作简单，老人小孩都会用,Joy
售后服务很到位，问题解决得快,Joy
这个品牌值得信赖,Joy
质量杠杠的，用了很久都没问题,Joy
这个颜色搭配得真好看,Joy
手感很棒，摸起来很舒服,Joy
这个味道绝了，太好吃了,Joy
服务很专业，态度也很好,Joy
这个设计很有创意,Joy
用起来很顺手，很满意,Joy
这个效果比我想象的还要好,Joy
性价比真的很高,Joy
这个体验感太棒了,Joy
质量确实不错，值得购买,Joy
这个功能太实用了,Joy
用着很放心，质量有保障,Joy
这个服务真的很贴心,Joy
太坑了，完全就是骗人的,Anger
这个质量也太差了吧,Anger
客服态度恶劣，气死我了,Anger
浪费我的时间，一点都不好用,Anger
这个价格买这种东西，太亏了,Anger
物流慢得要死，等了一个星期,Anger
包装破损严重，里面都坏了,Anger
这个功能根本就是摆设,Anger
用了一天就坏了，质量太差,Anger
这个app卡得要命，根本用不了,Anger
界面设计得乱七八糟的,Anger
操作复杂得要死，一点都不友好,Anger
售后服务推三阻四，态度很差,Anger
这个品牌太不靠谱了,Anger
用了几天就出问题，质量不行,Anger
这个颜色丑死了，一点都不好看,Anger
手感很差，摸起来很不舒服,Anger
这个味道太难吃了，想吐,Anger
服务态度差，一点都不专业,Anger
这个设计太丑了，没创意,Anger
用起来很不顺手，很失望,Anger
这个效果太差了，完全不行,Anger
性价比太低了，不值得,Anger
这个体验感太差了,Anger
质量确实不行，不推荐购买,Anger
这个功能太鸡肋了,Anger
用着很不放心，质量没保障,Anger
这个服务真的很差劲,Anger
还行吧，不算特别好,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral
这个产品真的绝了，太好用了,Excitement
超级满意，超出预期太多,Excitement
这个必须给满分好评,Excitement
性价比太高了，太划算了,Excitement
客服小姐姐人美心善,Excitement
物流速度快得惊人,Excitement
包装精美，细节满分,Excitement
用了一个月，一点问题都没有,Excitement
这个功能太贴心了，设计得很人性化,Excitement
强烈推荐，绝对不会后悔,Excitement
这个app界面太美了，设计感十足,Excitement
操作简单到爆，连我妈都会用,Excitement
售后服务太棒了，问题秒解决,Excitement
这个品牌值得信赖，质量有保障,Excitement
质量超级好，用了半年都没问题,Excitement
这个颜色太美了，搭配得很和谐,Excitement
手感绝了，摸起来超级舒服,Excitement
这个味道太棒了，好吃到停不下来,Excitement
服务太专业了，态度超级好,Excitement
这个设计太有创意了，很独特,Excitement
用起来超级顺手，很满意,Excitement
这个效果太惊艳了，比想象中还要好,Excitement
性价比太高了，物超所值,Excitement
这个体验感太棒了，很享受,Excitement
质量确实很好，值得购买,Excitement
这个功能太实用了，解决了很多问题,Excitement
用着很放心，质量绝对有保障,Excitement
这个服务太贴心了，很感动,Excitement
太坑了，完全就是骗人的,Disappointment
这个质量差到爆，根本不能用,Disappointment
客服态度恶劣到极点，气死我了,Disappointment
浪费我的时间和金钱，一点都不好用,Disappointment
这个价格买这种东西，太亏了,Disappointment
物流慢得像蜗牛，等得我都要疯了,Disappointment
包装烂得要死，里面都坏了,Disappointment
这个功能就是摆设，一点用都没有,Disappointment
用了一天就坏了，质量太差了,Disappointment
这个app卡得要死，根本用不了,Disappointment
界面设计得乱七八糟，丑死了,Disappointment
操作复杂得要命，一点都不友好,Disappointment
售后服务推三阻四，态度差到极点,Disappointment
这个品牌太不靠谱了，再也不买了,Disappointment
用了几天就出问题，质量太差了,Disappointment
这个颜色丑到爆，一点都不好看,Disappointment
手感差到极点，摸起来很不舒服,Disappointment
这个味道难吃到想吐，太恶心了,Disappointment
服务态度差到极点，一点都不专业,Disappointment
这个设计太丑了，一点创意都没有,Disappointment
用起来超级不顺手，很失望,Disappointment
这个效果差到极点，完全不行,Disappointment
性价比低到爆，一点都不值得,Disappointment
这个体验感差到极点,Disappointment
质量确实不行，绝对不推荐购买,Disappointment
这个功能太鸡肋了，一点用都没有,Disappointment
用着一点都不放心，质量没保障,Disappointment
这个服务差到极点，很生气,Disappointment
还行吧，不算特别好也不算差,Neutral
一般般，没什么特别的,Neutral
凑合着用，马马虎虎,Neutral
这个价格，这个质量，还可以,Neutral
物流速度一般，不算快也不算慢,Neutral
包装还行，没有破损,Neutral
这个功能还可以，基本够用,Neutral
用了一段时间，暂时没出问题,Neutral
这个app还可以，不算卡,Neutral
界面设计一般，不算难看,Neutral
操作还可以，不算太复杂,Neutral
售后服务一般，态度还行,Neutral
这个品牌听说过，应该还行,Neutral
质量一般，不算特别好也不算差,Neutral
这个颜色还可以，不算难看,Neutral
手感一般，不算特别好,Neutral
这个味道还可以，不算难吃,Neutral
服务态度一般，不算特别好,Neutral
这个设计还可以，不算难看,Neutral
用起来还可以，不算特别顺手,Neutral
这个效果一般，不算特别好,Neutral
性价比一般，不算特别高,Neutral
这个体验感一般，不算特别好,Neutral
质量一般，不算特别好,Neutral
这个功能还可以，基本够用,Neutral
用着还行，不算特别放心,Neutral
这个服务还可以，不算特别好,Neutral 
下方为自动生成的样本：
我今天心情特别低落, Sadness
最近总觉得很难过, Sadness
看到那条新闻我都快哭了, Sadness
分手后一直很伤心, Sadness
失去了最好的朋友, Sadness
这件事让我很沮丧, Sadness
生活好像没有希望了, Sadness
我真的很想念过去, Sadness
今天真是糟糕的一天, Sadness
心里一直堵得慌, Sadness
每次失败都很难受, Sadness
感觉被全世界抛弃了, Sadness
有时候真的撑不下去了, Sadness
我觉得自己很无助, Sadness
夜深人静时总会流泪, Sadness
想起以前的事就难过, Sadness
没人理解我的痛苦, Sadness
最近总是提不起精神, Sadness
一切都变得灰暗了, Sadness
我真的很想哭, Sadness

突然听到这个消息，吓我一跳, Surprise
你居然会来，太意外了, Surprise
没想到他会答应, Surprise
这结果真让人惊讶, Surprise
你怎么突然出现了, Surprise
原来你也在这里, Surprise
这变化太突然了, Surprise
完全出乎我的意料, Surprise
我都没反应过来, Surprise
你居然会说这样的话, Surprise
这礼物太惊喜了, Surprise
没想到会中奖, Surprise
你居然记得我的生日, Surprise
突然下起大雨, Surprise
他竟然考了第一, Surprise
你居然会做饭, Surprise
没想到会遇见你, Surprise
这事发展得太快了, Surprise
你居然会唱歌, Surprise
突然收到你的消息, Surprise

最近总是很焦虑, Anxiety
明天的面试让我很紧张, Anxiety
担心考试考不好, Anxiety
总觉得有事要发生, Anxiety
心里一直不安, Anxiety
对未来很迷茫, Anxiety
怕自己做不好, Anxiety
一直担心家里人, Anxiety
工作压力太大了, Anxiety
晚上总是睡不着, Anxiety
害怕被别人否定, Anxiety
总觉得时间不够用, Anxiety
担心自己不被认可, Anxiety
怕自己会失败, Anxiety
每次发言都很紧张, Anxiety
对新环境很不适应, Anxiety
总是胡思乱想, Anxiety
怕自己说错话, Anxiety
担心身体健康, Anxiety
最近压力山大, Anxiety

今天真是太恶心了, Disgust
看到那画面我都想吐, Disgust
这个味道太难闻了, Disgust
他的话让我很反感, Disgust
这件事让我很厌恶, Disgust
看到那个人就不舒服, Disgust
这食物太恶心了, Disgust
他的行为让我反胃, Disgust
这个地方太脏了, Disgust
看到这些垃圾心情很差, Disgust
他做的事真让人讨厌, Disgust
这广告太烦人了, Disgust
看到虫子就起鸡皮疙瘩, Disgust
这衣服的味道受不了, Disgust
他的话让我很不爽, Disgust
